gene,genotype,experiment,AreaSum,Label,image,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,BX,BY,Width,Height,Kurt,X.Area
aspa,control,expt2,101906,46,NA,1119.846154,121.893044,0.77367033,42.61498901,1123.505495,672.6043956,99.46024176,29.68507692,1.425813187,0.733384615,0.956076923,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,39776,35,NA,576.4637681,87.14526087,0.769550725,30.53153623,1034.608696,616.173913,89.01807246,21.15407246,1.450318841,0.713913043,0.949695652,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,101461,48.5,NA,1056.885417,120.4916667,0.748729167,42.37157292,1085.552083,638.1354167,85.98186458,28.96345833,1.510666667,0.69575,0.9439375,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,186680,79,NA,1189.044586,127.0343121,0.770210191,44.62379618,984.4522293,582.3757962,96.3329172,30.55466879,1.476719745,0.706649682,0.952898089,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,32748,28.5,NA,584.7857143,81.50023214,0.753553571,28.778875,956.75,772.9285714,105.1573214,19.720625,1.479,0.695839286,0.939178571,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,171816,57,NA,1520.495575,141.9690265,0.764159292,49.8909469,876.9115044,613.5044248,94.13553982,34.29071681,1.450477876,0.711238938,0.950451327,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,288722,109.5,NA,1324.412844,137.5470367,0.748174312,48.35761468,769.7293578,662.4908257,93.0608578,33.01412844,1.452055046,0.720412844,0.942188073,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,159193,92.5,NA,865.1793478,109.0404674,0.756755435,38.60082609,1086.076087,693.0815217,91.0751087,25.89330435,1.505543478,0.690771739,0.947652174,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,63236,42.5,NA,752.8095238,100.2254286,0.770083333,35.31666667,1123.309524,679.9404762,100.3167024,24.06653571,1.448464286,0.712119048,0.950571429,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,215869,77,NA,1410.908497,141.696634,0.74679085,49.93851634,1030.954248,714,97.92378431,33.85144444,1.480562092,0.708228758,0.944437908,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,255,2,NA,85,28.76133333,0.703333333,10.85366667,1382.333333,526,75.27933333,6.666666667,2.135333333,0.546,0.983666667,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,944,4,NA,134.8571429,39.22171429,0.820571429,13.80528571,1250.714286,480.5714286,83.56128571,9.471857143,1.430857143,0.709,0.971571429,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,8105,7,NA,623.4615385,87.34438462,0.797307692,30.55592308,1329.692308,595.6923077,92.16146154,21.77123077,1.365692308,0.745230769,0.949230769,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,561,2.5,NA,140.25,34.58125,0.76125,12.2995,1538.25,436,97.35875,8.25,1.56225,0.6635,0.91225,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,9673,13,NA,386.92,67.93908,0.80848,23.76012,1235.28,462.12,98.16304,17.1918,1.38656,0.74684,0.96064,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,10860,15.5,NA,362,65.03706667,0.7846,22.3644,1320.166667,696.4,89.45536667,16.6606,1.3991,0.747066667,0.953566667,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,31177,27,NA,588.245283,84.78932075,0.774509434,29.55267925,1304.528302,508.4716981,91.89326415,20.96092453,1.431377358,0.740377358,0.949849057,0,65535,NA,NA,NA,NA,NA,NA
aspa,control,expt2,67968,54.5,NA,629.3333333,86.04752778,0.788675926,30.1079537,1055.712963,692.3425926,89.71610185,21.21637037,1.438074074,0.726638889,0.959722222,0,65535,NA,NA,NA,NA,NA,NA
aspa,mutant,expt2,17,1,NA,17,21.899,0.445,9.22,1056,457,130.601,3.536,2,0.5,0.85,0,65535,NA,NA,NA,NA,NA,NA
aspa,mutant,expt2,34201,46.5,NA,371.75,59.44046739,0.772521739,20.50854348,1085.51087,495.5217391,97.88425,15.14053261,1.405336957,0.741836957,0.946782609,0,65535,NA,NA,NA,NA,NA,NA
aspa,mutant,expt2,61036,30,NA,1034.508475,108.306661,0.763644068,37.08325424,964.4745763,636.4915254,90.06772881,27.05113559,1.442847458,0.727084746,0.944525424,0,65535,NA,NA,NA,NA,NA,NA
aspa,mutant,expt2,76627,46.5,NA,832.9021739,102.1998804,0.755326087,35.64122826,1094.358696,772.923913,91.25171739,24.99123913,1.451380435,0.714945652,0.943391304,0,65535,NA,NA,NA,NA,NA,NA
aspa,mutant,expt2,175325,47.5,NA,1865.159574,166.0438404,0.752287234,58.15435106,953.1702128,655.5851064,92.33321277,39.71568085,1.459691489,0.71237234,0.94712766,0,65535,NA,NA,NA,NA,NA,NA
aspa,mutant,expt2,150020,61,NA,1239.834711,132.7077603,0.746743802,46.67119835,1019.396694,800.4214876,91.79009917,31.39429752,1.513834711,0.689495868,0.947264463,0,65535,NA,NA,NA,NA,NA,NA
