gene,genotype,experiment,droplet_count,mean_droplet_area,total_adipose_area,mean_feret,mean_circularity,mean_roundness,data_source
aspa,control,expt2,46.0,1119.846154,101906.0,42.61498901,0.77367033,0.733384615,morphology
aspa,control,expt2,35.0,576.4637681,39776.0,30.53153623,0.769550725,0.713913043,morphology
aspa,control,expt2,48.5,1056.885417,101461.0,42.37157292,0.748729167,0.69575,morphology
aspa,control,expt2,79.0,1189.044586,186680.0,44.62379618,0.770210191,0.706649682,morphology
aspa,control,expt2,28.5,584.7857143,32748.0,28.778875,0.753553571,0.695839286,morphology
aspa,control,expt2,57.0,1520.495575,171816.0,49.8909469,0.764159292,0.711238938,morphology
aspa,control,expt2,109.5,1324.412844,288722.0,48.35761468,0.748174312,0.720412844,morphology
aspa,control,expt2,92.5,865.1793478,159193.0,38.60082609,0.756755435,0.690771739,morphology
aspa,control,expt2,42.5,752.8095238,63236.0,35.31666667,0.770083333,0.712119048,morphology
aspa,control,expt2,77.0,1410.908497,215869.0,49.93851634,0.74679085,0.708228758,morphology
aspa,control,expt2,2.0,85.0,255.0,10.85366667,0.703333333,0.546,morphology
aspa,control,expt2,4.0,134.8571429,944.0,13.80528571,0.820571429,0.709,morphology
aspa,control,expt2,7.0,623.4615385,8105.0,30.55592308,0.797307692,0.745230769,morphology
aspa,control,expt2,2.5,140.25,561.0,12.2995,0.76125,0.6635,morphology
aspa,control,expt2,13.0,386.92,9673.0,23.76012,0.80848,0.74684,morphology
aspa,control,expt2,15.5,362.0,10860.0,22.3644,0.7846,0.747066667,morphology
aspa,control,expt2,27.0,588.245283,31177.0,29.55267925,0.774509434,0.740377358,morphology
aspa,control,expt2,54.5,629.3333333,67968.0,30.1079537,0.788675926,0.726638889,morphology
aspa,mutant,expt2,1.0,17.0,17.0,9.22,0.445,0.5,morphology
aspa,mutant,expt2,46.5,371.75,34201.0,20.50854348,0.772521739,0.741836957,morphology
aspa,mutant,expt2,30.0,1034.508475,61036.0,37.08325424,0.763644068,0.727084746,morphology
aspa,mutant,expt2,46.5,832.9021739,76627.0,35.64122826,0.755326087,0.714945652,morphology
aspa,mutant,expt2,47.5,1865.159574,175325.0,58.15435106,0.752287234,0.71237234,morphology
aspa,mutant,expt2,61.0,1239.834711,150020.0,46.67119835,0.746743802,0.689495868,morphology
aspa,mutant,expt2,76.5,2083.888158,316751.0,61.918,0.750388158,0.709986842,morphology
aspa,mutant,expt2,99.0,1903.340102,374958.0,58.09297462,0.74919797,0.71780203,morphology
aspa,mutant,expt2,44.5,2666.329545,234637.0,70.37393182,0.743,0.707477273,morphology
aspa,mutant,expt2,45.0,823.1011236,73256.0,36.39520225,0.779494382,0.763910112,morphology
aspa,mutant,expt2,65.5,2124.607692,276199.0,60.96489231,0.748792308,0.707184615,morphology
aspa,mutant,expt2,1.0,92.0,92.0,15.297,0.709,0.53,morphology
aspa,mutant,expt2,1.5,17.5,35.0,5.831,0.864,0.795,morphology
aspa,mutant,expt2,2.0,251.0,753.0,19.54233333,0.773333333,0.739666667,morphology
aspa,mutant,expt2,2.0,274.0,822.0,21.792,0.831,0.733666667,morphology
aspa,mutant,expt2,34.0,1071.522388,71792.0,41.512,0.780328358,0.725761194,morphology
aspa,mutant,expt2,51.5,1302.617647,132867.0,46.74683333,0.7715,0.74504902,morphology
cacnb4a,control,expt1,44.0,1598.995253,139112.587,49.50956322,0.750908046,0.711022989,morphology
cacnb4a,control,expt1,12.0,44.55891304,1024.855,9.125608696,0.727391304,0.62873913,morphology
cacnb4a,control,expt1,16.0,1381.702613,42832.781,42.75422581,0.75516129,0.711612903,morphology
cacnb4a,control,expt1,2.5,63.524,254.096,10.524,0.7415,0.76525,morphology
cacnb4a,control,expt1,70.5,2986.793029,418151.024,72.94478571,0.744085714,0.714457143,morphology
cacnb4a,control,expt1,18.0,402.9513429,14103.297,21.84291429,0.705057143,0.685176471,morphology
cacnb4a,control,expt1,89.5,2432.879927,433052.627,64.82193258,0.730488764,0.705280899,morphology
cacnb4a,control,expt1,1.0,29.955,29.955,14.132,0.365,0.244,morphology
cacnb4a,control,expt1,1.0,613.084,613.084,34.644,0.786,0.65,morphology
cacnb4a,control,expt1,3.5,13.31333333,79.88,5.716833333,0.7665,0.684,morphology
cacnb4a,control,expt1,27.0,1034.642321,54836.043,39.12949057,0.762773585,0.674377358,morphology
cacnb4a,control,expt1,17.0,1287.611,42491.163,44.81860606,0.743,0.71369697,morphology
cacnb4a,control,expt1,17.0,479.6648182,15828.939,24.87,0.769727273,0.752727273,morphology
cacnb4a,control,expt1,18.5,490.3213056,17651.567,23.77308333,0.732305556,0.699,morphology
cacnb4a,mutant,expt1,4.5,84.873125,678.985,10.363375,0.82025,0.721,morphology
cacnb4a,mutant,expt1,48.0,1489.119211,141466.325,47.67034737,0.742063158,0.714568421,morphology
cacnb4a,mutant,expt1,5.5,173.9233,1739.233,16.7437,0.7411,0.8039,morphology
cacnb4a,mutant,expt1,6.5,97.56608333,1170.793,10.42183333,0.755083333,0.775166667,morphology
cacnb4a,mutant,expt1,60.5,1450.448825,174053.859,47.85254167,0.761658333,0.721608333,morphology
cacnb4a,mutant,expt1,108.0,1048.055814,225332.0,43.61705116,0.706493023,0.690367442,morphology
cacnb4a,mutant,expt1,51.0,3401.905614,343592.467,77.4870495,0.717188119,0.696534653,morphology
cacnb4a,mutant,expt1,71.5,2393.296246,339848.067,65.5820493,0.74215493,0.708760563,morphology
cacnb4a,mutant,expt1,2.5,325.01425,1300.057,22.38775,0.749,0.64525,morphology
cacnb4a,mutant,expt1,7.0,325.2061538,4227.68,20.92815385,0.740923077,0.763769231,morphology
cacnb4a,mutant,expt1,7.5,457.4592143,6404.429,26.54678571,0.751214286,0.7235,morphology
cacnb4a,mutant,expt1,54.5,3974.146259,429207.796,82.09189815,0.747111111,0.728916667,morphology
cacnb4a,mutant,expt1,35.5,2015.0208,141051.456,55.90295714,0.758014286,0.741914286,morphology
cacnb4a,mutant,expt1,21.0,862.173878,35349.129,32.84068293,0.770829268,0.743731707,morphology
cacnb4a,mutant,expt2,12.5,228.875,5493.0,17.380375,0.781916667,0.766041667,morphology
cacnb4a,mutant,expt2,23.5,664.6956522,30576.0,26.8763913,0.815673913,0.791826087,morphology
cacnb4a,mutant,expt2,17.0,350.2727273,11559.0,20.59363636,0.804030303,0.777727273,morphology
cacnb4a,mutant,expt2,51.5,1985.882353,202560.0,58.76463725,0.741107843,0.718352941,morphology
cacnb4a,mutant,expt2,65.0,1334.821705,172192.0,46.94013953,0.762077519,0.741,morphology
cacnb4a,mutant,expt2,64.5,1074.882813,137585.0,41.10334375,0.760234375,0.725664063,morphology
cacnb4a,mutant,expt2,43.5,2018.337209,173577.0,59.50602326,0.763837209,0.735174419,morphology
cacnb4a,mutant,expt2,1.5,17.0,34.0,7.8795,0.5625,0.377,morphology
cacnb4a,mutant,expt2,2.0,11.66666667,35.0,5.751666667,0.663,0.506333333,morphology
cacnb4a,mutant,expt2,2.0,33.0,99.0,8.944,0.712666667,0.689,morphology
cacnb4a,mutant,expt2,19.5,681.0263158,25879.0,32.01607895,0.792947368,0.769131579,morphology
cacnb4a,mutant,expt2,35.5,1106.057143,77424.0,43.31961429,0.750057143,0.7031,morphology
cacnb4a,mutant,expt2,28.0,418.3636364,23010.0,23.36034545,0.770618182,0.740181818,morphology
cacnb4a,control,expt2,22.5,215.6136364,9487.0,16.33590909,0.785522727,0.764977273,morphology
cacnb4a,control,expt2,36.0,1045.971831,74264.0,40.62808451,0.771760563,0.740183099,morphology
cacnb4a,control,expt2,20.5,526.9,21076.0,26.68125,0.81125,0.7996,morphology
cacnb4a,control,expt2,52.5,1496.25,155610.0,49.56405769,0.751134615,0.702067308,morphology
cacnb4a,control,expt2,36.5,1409.833333,101508.0,48.45491667,0.764013889,0.718166667,morphology
cacnb4a,control,expt2,45.5,1052.777778,94750.0,41.84785556,0.753388889,0.714711111,morphology
